x_col_pos,y_row_pos,x_col_vel,y_row_vel,x_col_acc,y_row_acc,space,r,fin,q,t,ep
2,1,-1,1,0,-1,F,0,True,0.0,0,-1
2,1,0,1,1,0,F,0,True,0.0,0,-1
2,1,0,-1,1,-1,F,0,True,0.0,0,-1
2,1,0,0,1,0,F,0,True,0.0,0,-1
2,1,1,-1,0,0,F,0,True,0.0,0,-1
2,1,1,-1,1,0,F,0,True,0.0,0,-1
2,1,-1,-1,0,1,F,0,True,0.0,0,-1
2,1,-1,0,-1,-1,F,0,True,0.0,0,-1
2,1,1,1,1,0,F,0,True,0.0,0,-1
2,1,0,1,-1,-1,F,0,True,0.0,0,-1
2,1,1,0,-1,1,F,0,True,0.0,0,-1
2,1,1,0,1,-1,F,0,True,0.0,0,-1
2,1,0,1,0,-1,F,0,True,0.0,0,-1
2,1,-1,-1,-1,1,F,0,True,0.0,0,-1
2,1,0,1,0,1,F,0,True,0.0,0,-1
2,1,1,1,1,-1,F,0,True,0.0,0,-1
2,1,-1,0,0,1,F,0,True,0.0,0,-1
2,1,0,-1,0,0,F,0,True,0.0,0,-1
2,1,0,1,-1,0,F,0,True,0.0,0,-1
2,1,-1,-1,1,1,F,0,True,0.0,0,-1
2,1,0,0,0,1,F,0,True,0.0,0,-1
2,1,1,1,-1,-1,F,0,True,0.0,0,-1
2,1,1,-1,1,-1,F,0,True,0.0,0,-1
2,1,-1,1,-1,-1,F,0,True,0.0,0,-1
2,1,-1,-1,-1,-1,F,0,True,0.0,0,-1
2,1,-1,1,0,0,F,0,True,0.0,0,-1
2,1,-1,-1,-1,0,F,0,True,0.0,0,-1
2,1,0,0,0,-1,F,0,True,0.0,0,-1
2,1,-1,0,0,0,F,0,True,0.0,0,-1
2,1,0,-1,-1,0,F,0,True,0.0,0,-1
2,1,-1,0,-1,0,F,0,True,0.0,0,-1
2,1,0,0,-1,1,F,0,True,0.0,0,-1
2,1,1,0,1,0,F,0,True,0.0,0,-1
2,1,-1,0,0,-1,F,0,True,0.0,0,-1
2,1,1,1,-1,0,F,0,True,0.0,0,-1
2,1,0,0,-1,-1,F,0,True,0.0,0,-1
1,1,0,0,1,0,.,-1,False,-0.042286440472156274,90,390
1,1,1,-1,0,1,.,-1,False,-0.2136985982555385,82,401
1,2,0,-1,1,-1,.,-1,False,-0.21529914584486629,25,392
1,1,1,1,0,-1,.,-1,False,-0.22254786004677607,30,349
1,2,0,-1,1,0,.,-1,False,-0.24693352477967556,25,400
1,1,1,1,1,-1,.,-1,False,-0.25529019006973386,21,388
1,1,1,-1,1,1,.,-1,False,-0.26709990492101876,74,402
1,1,0,-1,1,1,.,-1,False,-0.3698721802928212,122,403
1,2,1,0,1,-1,.,-1,False,-0.43326984861261897,10,255
1,2,0,0,1,-1,.,-1,False,-0.5838077098154812,27,399
1,2,1,0,0,-1,.,-1,False,-0.6903645468602714,10,329
1,1,1,0,-1,-1,.,-1,False,-1.0,0,-1
1,3,1,0,-1,-1,.,-1,False,-1.0,0,-1
2,3,-1,-1,1,1,S,-1,False,-1.0,0,-1
1,2,1,-1,0,0,.,-1,False,-1.0,0,-1
2,3,-1,0,1,0,S,-1,False,-1.0,0,-1
1,3,0,-1,-1,-1,.,-1,False,-1.0,0,-1
2,3,-1,0,0,1,S,-1,False,-1.0,0,-1
2,3,-1,-1,-1,-1,S,-1,False,-1.0,0,-1
