fold,run,eta,h1,h2,mse_te
3,5,0.001,4.0,2.0,2.028980521626743
3,6,0.001,4.0,2.0,2.0275993242024
3,7,0.001,4.0,2.0,2.027007983151444
3,8,0.001,4.0,2.0,2.0267489198140134
3,9,0.001,4.0,2.0,2.026634179398171
3,10,0.001,4.0,2.0,2.026583104640795
3,11,0.001,4.0,2.0,2.0265603178577107
3,12,0.001,4.0,2.0,2.0265501412167226
3,13,0.001,4.0,2.0,2.0265455941843054
3,14,0.001,4.0,2.0,2.0265435620667867
3,15,0.001,4.0,2.0,2.026542653768854
3,16,0.001,4.0,2.0,2.026542247729105
3,17,0.001,4.0,2.0,2.026542066171998
3,18,0.001,4.0,2.0,2.0265419849492314
3,19,0.001,4.0,2.0,2.0265419485721914
3,20,0.001,4.0,2.0,2.0265419322396143
3,21,0.001,4.0,2.0,2.0265419248662107
3,22,0.001,4.0,2.0,2.026541921497239
3,23,0.001,4.0,2.0,2.0265419199180994
3,24,0.001,4.0,2.0,2.0265419191389427
3,25,0.001,4.0,2.0,2.026541918717336
3,26,0.001,4.0,2.0,2.0265419184555302
3,27,0.001,4.0,2.0,2.0265419182651394
3,28,0.001,4.0,2.0,2.026541918106657
3,29,0.001,4.0,2.0,2.0265419179624238
4,0,0.001,4.0,2.0,2.4178669017616565
4,1,0.001,4.0,2.0,2.1246861899685556
4,2,0.001,4.0,2.0,2.0356768696300804
4,3,0.001,4.0,2.0,2.007155356345407
4,4,0.001,4.0,2.0,1.9971093808073568
4,5,0.001,4.0,2.0,1.9932132456150036
4,6,0.001,4.0,2.0,1.9915960609546175
4,7,0.001,4.0,2.0,1.9908985746911483
4,8,0.001,4.0,2.0,1.9905919243553614
4,9,0.001,4.0,2.0,1.9904558813807425
4,10,0.001,4.0,2.0,1.9903952767022053
4,11,0.001,4.0,2.0,1.9903682278010661
4,12,0.001,4.0,2.0,1.9903561451709575
4,13,0.001,4.0,2.0,1.9903507457759508
4,14,0.001,4.0,2.0,1.9903483324239895
4,15,0.001,4.0,2.0,1.9903472535490838
4,16,0.001,4.0,2.0,1.9903467711233644
4,17,0.001,4.0,2.0,1.9903465552956734
4,18,0.001,4.0,2.0,1.990346458633305
4,19,0.001,4.0,2.0,1.9903464152365633
4,20,0.001,4.0,2.0,1.9903463956490963
4,21,0.001,4.0,2.0,1.990346386704185
4,22,0.001,4.0,2.0,1.9903463825164185
4,23,0.001,4.0,2.0,1.9903463804550594
4,24,0.001,4.0,2.0,1.990346379344186
4,25,0.001,4.0,2.0,1.990346378658174
4,26,0.001,4.0,2.0,1.9903463781620667
4,27,0.001,4.0,2.0,1.9903463777508485
4,28,0.001,4.0,2.0,1.9903463773775714
4,29,0.001,4.0,2.0,1.9903463770212522
5,0,0.001,4.0,2.0,
5,1,0.001,4.0,2.0,
5,2,0.001,4.0,2.0,
5,3,0.001,4.0,2.0,
5,4,0.001,4.0,2.0,
5,5,0.001,4.0,2.0,
5,6,0.001,4.0,2.0,
5,7,0.001,4.0,2.0,
5,8,0.001,4.0,2.0,
5,9,0.001,4.0,2.0,
5,10,0.001,4.0,2.0,
5,11,0.001,4.0,2.0,
5,12,0.001,4.0,2.0,
5,13,0.001,4.0,2.0,
5,14,0.001,4.0,2.0,
5,15,0.001,4.0,2.0,
5,16,0.001,4.0,2.0,
5,17,0.001,4.0,2.0,
5,18,0.001,4.0,2.0,
5,19,0.001,4.0,2.0,
5,20,0.001,4.0,2.0,
5,21,0.001,4.0,2.0,
5,22,0.001,4.0,2.0,
5,23,0.001,4.0,2.0,
5,24,0.001,4.0,2.0,
5,25,0.001,4.0,2.0,
5,26,0.001,4.0,2.0,
5,27,0.001,4.0,2.0,
5,28,0.001,4.0,2.0,
5,29,0.001,4.0,2.0,
