fold,run,eta,h1,h2,mse_te
5,2,0.0001,8.0,6.0,34.70419482995757
5,3,0.0001,8.0,6.0,12.292233532196628
5,4,0.0001,8.0,6.0,9.356766990952012
5,5,0.0001,8.0,6.0,9.072218489300544
5,6,0.0001,8.0,6.0,8.82259568172805
5,7,0.0001,8.0,6.0,8.52178438910432
5,8,0.0001,8.0,6.0,8.243217388560593
5,9,0.0001,8.0,6.0,7.974446691434424
5,10,0.0001,8.0,6.0,7.732204473361957
5,11,0.0001,8.0,6.0,7.511994760732326
5,12,0.0001,8.0,6.0,7.3207999605593095
5,13,0.0001,8.0,6.0,7.158132073394369
5,14,0.0001,8.0,6.0,7.025669797999724
5,15,0.0001,8.0,6.0,6.920706757209564
5,16,0.0001,8.0,6.0,6.840455941221084
5,17,0.0001,8.0,6.0,6.780241274996742
5,18,0.0001,8.0,6.0,6.735821612891608
5,19,0.0001,8.0,6.0,6.702863986137485
5,20,0.0001,8.0,6.0,6.677953444356815
5,21,0.0001,8.0,6.0,6.6582168583367425
5,22,0.0001,8.0,6.0,6.641613057234737
5,23,0.0001,8.0,6.0,6.626604806659626
5,24,0.0001,8.0,6.0,6.612189773893416
5,25,0.0001,8.0,6.0,6.597669413381195
5,26,0.0001,8.0,6.0,6.582627852340601
5,27,0.0001,8.0,6.0,6.566793465399001
5,28,0.0001,8.0,6.0,6.550023703695617
5,29,0.0001,8.0,6.0,6.5322290876205935
5,30,0.0001,8.0,6.0,6.513369970547645
5,31,0.0001,8.0,6.0,6.49341590163605
5,32,0.0001,8.0,6.0,6.472349530242297
5,33,0.0001,8.0,6.0,6.450144207697736
5,34,0.0001,8.0,6.0,6.42677083854489
5,35,0.0001,8.0,6.0,6.4021843741258495
5,36,0.0001,8.0,6.0,6.3763315746728155
5,37,0.0001,8.0,6.0,6.349141702042482
5,38,0.0001,8.0,6.0,6.320534799889598
5,39,0.0001,8.0,6.0,6.290414403991024
5,40,0.0001,8.0,6.0,6.258677135772355
5,41,0.0001,8.0,6.0,6.225206544249954
5,42,0.0001,8.0,6.0,6.189885996906194
5,43,0.0001,8.0,6.0,6.152593229132877
5,44,0.0001,8.0,6.0,6.1132202586358195
5,45,0.0001,8.0,6.0,6.071667348817316
5,46,0.0001,8.0,6.0,6.027877115723775
5,47,0.0001,8.0,6.0,5.981821807742354
5,48,0.0001,8.0,6.0,5.933567917949783
