space,y_row_pos,x_col_pos,y_row_vel,x_col_vel,r,fin,prev_val,t,val,best_x_col_a,best_y_row_a
.,2,1,5,-1,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
.,2,1,5,0,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
.,2,1,5,1,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
.,2,1,5,2,-1,False,-5.808827739064499,10,-5.910255390086241,-1,-1
.,2,1,5,3,-1,False,-5.367592218131431,10,-5.400771578271996,1,-1
.,2,1,5,4,-1,False,-5.367592218131431,10,-5.400771578271996,0,-1
.,2,1,5,5,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
.,2,2,-5,-5,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,-4,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,-3,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,-2,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,-1,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,0,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,2,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-5,3,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,2,-5,4,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,2,-5,5,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,2,-4,-5,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-4,-4,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-4,-3,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-4,-2,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-4,-1,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-4,0,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-4,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-4,2,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,2,-4,3,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,2,-4,4,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,2,-4,5,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,2,-3,-5,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-3,-4,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-3,-3,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-3,-2,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-3,-1,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-3,0,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-3,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-3,2,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,2,-3,3,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,2,-3,4,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,2,-3,5,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,2,-2,-5,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,2,-2,-4,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-2,-3,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-2,-2,-1,False,-1.0,10,-1.0,-1,-1
.,2,2,-2,-1,-1,False,-1.0,10,-1.0,-1,-1
